0 0 0 336 133
1 336 0 378 119
2 714 0 161 140
3 875 0 119 49
4 994 0 175 119
5 1169 0 140 406
6 1309 0 140 497
7 1449 0 196 119
8 1645 0 294 119
9 1939 0 161 119
10 2100 0 119 266
11 2219 0 119 336
12 2338 0 119 126
13 2457 0 371 182
14 2828 0 182 203
15 3010 0 182 203
16 3192 0 84 119
17 3276 0 133 294
18 3409 0 182 350
19 3591 0 315 140
20 3906 0 133 315
21 4039 0 560 133
22 4599 0 133 140
23 4732 0 175 133
24 4907 0 133 231
25 5040 0 133 315
26 5173 0 182 98
27 5355 0 210 210
28 5565 0 126 378
29 5691 0 182 119
30 5873 0 119 119
31 5992 0 357 119
32 6349 0 119 84
